date,opportunities_found,opportunities_executed,successful_trades,failed_trades,total_profit_usd,total_gas_cost_usd,average_profit_per_trade,success_rate,avg_gas_price_gwei
2025-09-23,96,72,62,10,19036.733890811516,30326.400000000034,307.04409501308896,0.8611111111111112,30
2025-09-24,96,68,56,12,16090.059752164492,29596.320000000043,287.3224955743659,0.8235294117647058,31
2025-09-25,96,56,49,7,14045.767866934833,25159.67999999999,286.6483238149966,0.875,32
2025-09-26,96,71,63,8,15815.757718563786,32895.71999999999,251.04377331053627,0.8873239436619719,33
2025-09-27,96,67,62,5,16581.704448331497,31983.120000000024,267.4468459408306,0.9253731343283582,34
2025-09-28,96,57,53,4,15527.303141677337,28009.800000000025,292.9679838052328,0.9298245614035088,35
2025-09-29,96,56,47,9,12871.517161831134,28304.639999999974,273.8620672730029,0.8392857142857143,36
2025-09-30,96,51,43,8,10229.22132020437,26493.47999999998,237.88886791172953,0.8431372549019608,37
2025-10-01,96,53,47,6,10103.184333798532,28276.56000000002,214.9613688042241,0.8867924528301887,38
2025-10-02,96,58,53,5,10375.011111303125,31758.480000000025,195.75492662836086,0.9137931034482759,39
2025-10-03,96,57,47,10,8113.963544397398,32011.199999999968,172.63752222122125,0.8245614035087719,40
2025-10-04,96,48,43,5,8687.597876136091,27630.719999999983,202.03715991014167,0.8958333333333334,41
2025-10-05,96,52,47,5,9083.517519728079,30663.36000000001,193.2663302069804,0.9038461538461539,42
2025-10-06,96,51,40,11,6981.760574379411,30789.72000000002,174.5440143594853,0.7843137254901961,43
2025-10-07,96,53,47,6,7275.161178258706,32741.279999999962,154.79066336720652,0.8867924528301887,44
2025-10-08,96,39,35,4,6136.224588169818,24640.199999999983,175.32070251913765,0.8974358974358975,45
2025-10-09,96,40,35,5,5221.138349082539,25833.600000000002,149.17538140235825,0.875,46
2025-10-10,96,38,31,7,4397.227293622274,25075.440000000006,141.8460417297508,0.8157894736842105,47
2025-10-11,96,27,19,8,2413.338118412721,18195.839999999997,127.01779570593268,0.7037037037037037,48
2025-10-12,96,39,36,3,5267.694437590391,26830.439999999977,146.32484548862197,0.9230769230769231,49
2025-10-13,96,71,58,13,19551.65677274717,29905.200000000033,337.09753056460636,0.8169014084507042,30
2025-10-14,96,67,58,9,16274.675422780234,29161.08000000004,280.5978521169006,0.8656716417910447,31
